Symbol,Date,Close
ADBE,5/11/2018,241.88
ADBE,5/14/2018,238.37
ADBE,5/15/2018,236.6
ADBE,5/16/2018,237.39
ADBE,5/17/2018,236.85
ADBE,5/18/2018,238.09
ADBE,5/21/2018,238.1
ADBE,5/22/2018,238.79
ADBE,5/23/2018,243.91
ADBE,5/24/2018,245.15
ADBE,5/25/2018,243.56
ADBE,5/29/2018,242.19
ADBE,5/30/2018,247.4
ADBE,5/31/2018,249.28
ADBE,6/1/2018,251.31
ADBE,6/4/2018,253.34
ADBE,6/5/2018,252.7
ADBE,6/6/2018,253.95
ADBE,6/7/2018,247.51
ADBE,6/8/2018,251.21
ADBE,6/11/2018,251
ADBE,6/12/2018,252.59
ADBE,6/13/2018,256.13
ADBE,6/14/2018,258.1
ADBE,6/15/2018,251.82
ADBE,6/18/2018,255.69
ADBE,6/19/2018,251.74
ADBE,6/20/2018,251.24
ADBE,6/21/2018,248.83
ADBE,6/22/2018,243.63
ADBE,6/25/2018,239.68
ADBE,6/26/2018,242.25
ADBE,6/27/2018,237.68
ADBE,6/28/2018,239.81
ADBE,6/29/2018,243.81
ADBE,7/2/2018,243.26
ADBE,7/3/2018,242.01
ADBE,7/5/2018,244.18
ADBE,7/6/2018,248.19
ADBE,7/9/2018,249.77
ADBE,7/10/2018,248.63
ADBE,7/11/2018,248.12
ADBE,7/12/2018,254.87
ADBE,7/13/2018,258.59
ADBE,7/16/2018,254.68
ADBE,7/17/2018,258.31
ADBE,7/18/2018,259.78
ADBE,7/19/2018,257.68
ADBE,7/20/2018,257.54
ADBE,7/23/2018,259.47
ADBE,7/24/2018,257.49
ADBE,7/25/2018,263.17
ADBE,7/26/2018,263.17
ADBE,7/27/2018,254.81
ADBE,7/30/2018,254.81
ADBE,7/31/2018,244.68
ADBE,8/1/2018,248.01
ADBE,8/2/2018,252.22
ADBE,8/3/2018,253.28
ADBE,8/6/2018,254.11
ADBE,8/7/2018,253.39
ADBE,8/8/2018,253.83
ADBE,8/9/2018,253.8
ADBE,8/10/2018,253.7
ADBE,8/13/2018,253.54
ADBE,8/14/2018,256.05
ADBE,8/15/2018,250.52
ADBE,8/16/2018,248.89
ADBE,8/17/2018,245.7
ADBE,8/20/2018,249.76
ADBE,8/21/2018,251.5
ADBE,8/22/2018,255.54
ADBE,8/23/2018,257
ADBE,8/24/2018,261.51
ADBE,8/27/2018,262.4
ADBE,8/28/2018,263.04
ADBE,8/29/2018,268.36
ADBE,8/30/2018,266.43
ADBE,8/31/2018,263.51
ADBE,9/4/2018,266.68
ADBE,9/5/2018,256.14
ADBE,9/6/2018,259.75
ADBE,9/7/2018,260.87
ADBE,9/10/2018,265.37
ADBE,9/11/2018,267
ADBE,9/12/2018,267.79
ADBE,9/13/2018,268.52
ADBE,9/14/2018,274.69
ADBE,9/17/2018,268.25
ADBE,9/18/2018,270.79
ADBE,9/19/2018,264.88
ADBE,9/20/2018,266.34
ADBE,9/21/2018,260.88
ADBE,9/24/2018,264.09
ADBE,9/25/2018,267.84
ADBE,9/26/2018,268.47
ADBE,9/27/2018,269.91
ADBE,9/28/2018,269.95
ADBE,10/1/2018,275.49
ADBE,10/2/2018,272
ADBE,10/3/2018,270.51
ADBE,10/4/2018,263.71
ADBE,10/5/2018,263.22
ADBE,10/8/2018,254.69
ADBE,10/9/2018,254.16
ADBE,10/10/2018,237.91
ADBE,10/11/2018,238.59
ADBE,10/12/2018,248.87
ADBE,10/15/2018,238.01
ADBE,10/16/2018,260.67
ADBE,10/17/2018,258.91
ADBE,10/18/2018,250.35
ADBE,10/19/2018,245.03
ADBE,10/22/2018,251.06
ADBE,10/23/2018,251.76
ADBE,10/24/2018,238.44
ADBE,10/25/2018,252.92
ADBE,10/26/2018,245.8
ADBE,10/29/2018,239.75
ADBE,10/30/2018,238.41
ADBE,10/31/2018,245.76
ADBE,11/1/2018,245.28
ADBE,11/2/2018,239.64
ADBE,11/5/2018,239.89
ADBE,11/6/2018,240.56
ADBE,11/7/2018,253.43
ADBE,11/8/2018,249.96
ADBE,11/9/2018,244.84
ADBE,11/12/2018,236.67
ADBE,11/13/2018,238.74
ADBE,11/14/2018,235.22
ADBE,11/15/2018,239.95
ADBE,11/16/2018,238.89
ADBE,11/19/2018,219.69
ADBE,11/20/2018,219.73
ADBE,11/21/2018,225.98
ADBE,11/23/2018,225.56
ADBE,11/26/2018,231.96
ADBE,11/27/2018,232.25
