Symbol,Date,Close
ADBE,11/28/2018,249.21
ADBE,11/29/2018,249.09
ADBE,11/30/2018,250.89
ADBE,12/3/2018,255.26
ADBE,12/4/2018,245.82
ADBE,12/6/2018,250.63
ADBE,12/7/2018,238
ADBE,12/10/2018,244.09
ADBE,12/11/2018,245.34
ADBE,12/12/2018,245.55
ADBE,12/13/2018,248.08
ADBE,12/14/2018,230
ADBE,12/17/2018,221.38
ADBE,12/18/2018,226.18
ADBE,12/19/2018,224.65
ADBE,12/20/2018,218.65
ADBE,12/21/2018,208.8
ADBE,12/24/2018,205.16
ADBE,12/26/2018,222.95
ADBE,12/27/2018,225.14
ADBE,12/28/2018,223.13
ADBE,12/31/2018,226.24
ADBE,1/2/2019,224.57
ADBE,1/3/2019,215.7
ADBE,1/4/2019,226.19
ADBE,1/7/2019,229.26
ADBE,1/8/2019,232.68
ADBE,1/9/2019,235.43
ADBE,1/10/2019,237.77
ADBE,1/11/2019,237.55
ADBE,1/14/2019,234.56
ADBE,1/15/2019,242.36
ADBE,1/16/2019,241.95
ADBE,1/17/2019,244.4
ADBE,1/18/2019,247.51
ADBE,1/22/2019,243.85
ADBE,1/23/2019,245.14
ADBE,1/24/2019,242.56
ADBE,1/25/2019,244.95
ADBE,1/28/2019,241.85
ADBE,1/29/2019,238.27
ADBE,1/30/2019,242.67
ADBE,1/31/2019,247.82
ADBE,2/1/2019,247.38
ADBE,2/4/2019,254.74
ADBE,2/5/2019,254.82
ADBE,2/6/2019,254.35
ADBE,2/7/2019,253.74
ADBE,2/8/2019,257
ADBE,2/11/2019,258.39
ADBE,2/12/2019,261.37
ADBE,2/13/2019,260.23
ADBE,2/14/2019,260.14
ADBE,2/15/2019,259.45
ADBE,2/19/2019,257.81
ADBE,2/20/2019,258.1
ADBE,2/21/2019,257.76
ADBE,2/22/2019,258.9
ADBE,2/25/2019,258.62
ADBE,2/26/2019,261.22
ADBE,2/27/2019,262.9
ADBE,2/28/2019,262.5
ADBE,3/1/2019,264.01
ADBE,3/4/2019,258.16
ADBE,3/5/2019,257.38
ADBE,3/6/2019,256.4
ADBE,3/7/2019,255.46
ADBE,3/8/2019,254.74
ADBE,3/11/2019,260.96
ADBE,3/12/2019,263.51
ADBE,3/13/2019,264.38
ADBE,3/14/2019,267.69
ADBE,3/15/2019,257.09
ADBE,3/18/2019,257.76
ADBE,3/19/2019,260.42
ADBE,3/20/2019,259.74
ADBE,3/21/2019,264.18
ADBE,3/22/2019,259.69
ADBE,3/25/2019,262.27
ADBE,3/26/2019,265.59
ADBE,3/27/2019,262.34
ADBE,3/28/2019,263.53
ADBE,3/29/2019,266.49
ADBE,4/1/2019,272.17
ADBE,4/2/2019,271.35
ADBE,4/3/2019,271.5
ADBE,4/4/2019,267.89
ADBE,4/5/2019,267.45
ADBE,4/8/2019,268.81
ADBE,4/9/2019,268.99
ADBE,4/10/2019,271.58
ADBE,4/11/2019,271.9
ADBE,4/12/2019,271.86
ADBE,4/15/2019,272.22
ADBE,4/16/2019,271.43
ADBE,4/17/2019,269.45
ADBE,4/18/2019,270.57
ADBE,4/22/2019,272.21
ADBE,4/23/2019,278.49
ADBE,4/24/2019,275.45
ADBE,4/25/2019,277.66
ADBE,4/26/2019,281.96
ADBE,4/29/2019,286.14
ADBE,4/30/2019,289.25
ADBE,5/1/2019,283.35
ADBE,5/2/2019,279.64
ADBE,5/3/2019,285.58
ADBE,5/6/2019,283.66
ADBE,5/7/2019,277.07
ADBE,5/8/2019,276.77
ADBE,5/9/2019,275.79
